id_1;id_2;base_name;score_base;ref_1_name;score_ref_1;ref_2_name;score_ref_2;desc_1;desc_2;source_file;categories_raw;categories
279;5645;CLIP;0.9540167;SigLIP;0.27984536;DINO;0.4690289;The image depicts a person with shoulder-length, curly hair. The individual is wearing a pink top and is positioned in a frontal pose, facing the camera. The background consists of a wooden structure with intricate carvings, suggesting an indoor setting, possibly a room or a hallway. The lighting appears to be natural, possibly from a window, as there are no harsh shadows. The overall color palette is warm, dominated by the pink of the person's top and the wooden tones of the background.;The image depicts a person with light skin and brown hair styled in a loose, updo. The individual is wearing a red shirt and is positioned in a close-up, front-facing portrait. The background features a blurred, indistinct scene with what appears to be a bookshelf or some sort of decorative object, suggesting a domestic or indoor setting. The lighting is soft and natural, creating a gentle glow on the subject's face.;similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
754;8134;CLIP;0.9604335;SigLIP;0.40524247;DINO;0.5333525;"The image depicts a red stop sign with a white border. The sign is octagonal and has the word ""STOP"" written in white capital letters in the center. The background is black, which makes the red sign stand out prominently. The overall color palette is simple, with the red of the sign being the most dominant color. The lighting conditions are even, without any noticeable shadows or highlights, suggesting a well-lit environment. The sign is positioned centrally in the frame, with no other objects or elements present in the background.";"The image depicts a red stop sign with the word ""STOP"" written in white capital letters. The sign is octagonal with a white border and is positioned centrally in the frame. The background is plain white, which makes the red stop sign stand out prominently. The lighting is bright, likely from a natural light source, as there are no shadows or reflections on the sign. The overall color palette is simple, with the red of the sign and the white of the text creating a stark contrast.";similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
754;4125;CLIP;0.95528454;SigLIP;0.29976556;DINO;0.62543166;"The image depicts a red stop sign with a white border. The sign is octagonal and has the word ""STOP"" written in white capital letters in the center. The background is black, which makes the red sign stand out prominently. The overall color palette is simple, with the red of the sign being the most dominant color. The lighting conditions are even, without any noticeable shadows or highlights, suggesting a well-lit environment. The sign is positioned centrally in the frame, with no other objects or elements present in the background.";"The image depicts a red stop sign with the word ""STOP"" written in blue letters. The sign is octagonal with a white border. The background is plain white, and the sign is centered in the frame. The overall color palette is simple, with the red of the sign contrasting sharply against the white background. The lighting is even, without any noticeable shadows or highlights, suggesting a well-lit environment.";similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
754;6639;CLIP;0.95519733;SigLIP;0.6283473;DINO;0.5965179;"The image depicts a red stop sign with a white border. The sign is octagonal and has the word ""STOP"" written in white capital letters in the center. The background is black, which makes the red sign stand out prominently. The overall color palette is simple, with the red of the sign being the most dominant color. The lighting conditions are even, without any noticeable shadows or highlights, suggesting a well-lit environment. The sign is positioned centrally in the frame, with no other objects or elements present in the background.";The image depicts a stop sign. The sign is octagonal with a red background and white text. The sign is positioned centrally in the frame, with a black background. The overall color palette is dominated by red and white, with the stop sign being the focal point. The lighting conditions appear to be even, without any noticeable shadows or highlights.;similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
754;7763;CLIP;0.954166;SigLIP;0.39481783;DINO;0.55296516;"The image depicts a red stop sign with a white border. The sign is octagonal and has the word ""STOP"" written in white capital letters in the center. The background is black, which makes the red sign stand out prominently. The overall color palette is simple, with the red of the sign being the most dominant color. The lighting conditions are even, without any noticeable shadows or highlights, suggesting a well-lit environment. The sign is positioned centrally in the frame, with no other objects or elements present in the background.";"The image depicts a classic red stop sign with a white border. The sign is octagonal and features the word ""STOP"" in bold, uppercase letters. The background is plain white, and the sign is centered in the frame, occupying a significant portion of the image. The overall color palette is simple, with the red of the sign contrasting sharply against the white background. The lighting is even, with no shadows or highlights, suggesting a well-lit environment.";similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
1593;6639;CLIP;0.9626459;SigLIP;0.29946074;DINO;0.63530904;"The image depicts a stop sign. The sign is red with a white border and the word ""STOP"" written in white capital letters. The sign is positioned in the center of the frame, with a white border around it. The background is plain white, and the sign is the only object in the frame. The overall color palette is simple, with the red of the sign contrasting against the white border and background. The lighting is even, with no shadows or highlights visible on the sign.";The image depicts a stop sign. The sign is octagonal with a red background and white text. The sign is positioned centrally in the frame, with a black background. The overall color palette is dominated by red and white, with the stop sign being the focal point. The lighting conditions appear to be even, without any noticeable shadows or highlights.;similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
6030;6128;CLIP;0.9555446;SigLIP;0.2141384;DINO;0.61479115;The image depicts a person with shoulder-length, wavy hair. The individual is wearing a light-colored top and is positioned in a frontal pose, facing the camera. The background is blurred, suggesting a focus on the subject. The overall color palette is neutral, with the subject's hair and clothing being the primary colors. The lighting appears to be natural, possibly from a window, casting soft shadows on the subject's face.;The image features a young individual with light brown hair styled in loose waves. The person is wearing a white shirt and is positioned in the foreground of the frame, facing slightly to the left. The background consists of a mural or painting with a mix of earthy tones and abstract designs, suggesting an indoor setting with a rustic or artistic ambiance. The lighting appears to be natural, possibly from a window, casting soft shadows and highlighting the subject's features.;similarity_results\clip_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
4971;6450;DINO;0.96989;SigLIP;0.5210355;CLIP;0.6489136;The image depicts a grand piano with a black and white color scheme. The piano is positioned against a plain, light-colored background, which helps to highlight its features. The piano is open, revealing its interior, which includes a wooden keyboard and a wooden body. The keys are white, and the piano is supported by four legs with gold-colored feet. The overall lighting is soft and even, with no harsh shadows, which suggests that the photograph was taken in a controlled environment, possibly a studio.;"The image depicts a grand piano with the model name ""RX-7 Semi-Concert Grand"" prominently displayed. The piano is black in color and has a glossy finish. It is positioned against a plain white background, which helps to highlight the piano's details. The piano is oriented with the keyboard facing the viewer and the hammers resting on the strings. The background features a small emblem with a gold border and a circular design, possibly indicating the brand or manufacturer of the piano. The overall lighting is bright and even, with no shadows or highlights, suggesting a controlled lighting setup.";similarity_results\dino_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
943;5196;DINO;0.9640348;SigLIP;0.4506998;CLIP;0.60909975;The image depicts a grand piano with a black finish. The piano is positioned against a plain white background, which accentuates its sleek design and polished surface. The piano is open, revealing its interior, which includes a keyboard and a hinged lid. The piano is accompanied by a matching black bench, which is placed to the left of the piano. The lighting in the image is bright and even, with no shadows or highlights, suggesting a controlled lighting setup. The overall color palette is dominated by the black and white of the piano and bench, with the white background providing a stark contrast.;The image features a grand piano with a black finish. The piano is positioned in the center of the frame, with its lid open, revealing its intricate keys and hammers. The background is dark, which contrasts with the piano, making it the focal point of the image. The overall color palette is monochromatic, with shades of black and gray dominating the scene. The lighting is soft and even, highlighting the piano's details without creating harsh shadows.;similarity_results\dino_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
5196;7735;DINO;0.96255946;SigLIP;0.3620366;CLIP;0.63629985;The image features a grand piano with a black finish. The piano is positioned in the center of the frame, with its lid open, revealing its intricate keys and hammers. The background is dark, which contrasts with the piano, making it the focal point of the image. The overall color palette is monochromatic, with shades of black and gray dominating the scene. The lighting is soft and even, highlighting the piano's details without creating harsh shadows.;The image depicts a grand piano with a black finish. The piano is positioned in a studio setting, with a black bench to its left. The background is a plain, neutral color, which helps to highlight the piano and its details. The lighting is soft and even, casting gentle shadows that accentuate the piano's contours and the wood's grain. The overall color palette is dominated by the black of the piano and the bench, with the neutral background providing a stark contrast.;similarity_results\dino_caltech_blind_spots.csv;SUBJECT_TYPE, SUBJECT_APPEARANCE, SUBJECT_POSE, BACKGROUND_OBJECTS, BACKGROUND_SETTING, COLORS_LIGHTING;SUBJECT_TYPE|SUBJECT_APPEARANCE|SUBJECT_POSE|BACKGROUND_OBJECTS|BACKGROUND_SETTING|COLORS_LIGHTING
