identical_by_qwen,qwen_cap_1,qwen_cap_2,diff_bullets,Orientation_And_Direction,Presence_Of_Features,State_And_Condition,Quantity_And_Count,Positional_Context,Color_And_Appearance,Structural_Characteristics,Text,Viewpoint_Perspective,No_Difference,dataset_name,base_name,id_1,id_2,base_score,ref_1_score,ref_2_score
True,,,Qwen: images are essentially identical.,0,0,0,0,0,0,0,0,0,1,Caltech101,CLIP,20,465,0.96122706,0.4258185,0.990587
False,"The image depicts a jaguar, a large feline native to the Americas. The jaguar is captured in a dynamic pose, walking on a rocky terrain. The jaguar's coat is a striking pattern of dark brown and black spots, which are characteristic of its species. Its long, slender tail is visible, and it appears to be in mid-stride, with its front paws on the ground and its hind legs raised slightly. The jaguar's eyes are focused forward, and its ears are perked up, indicating alertness. The background consists of rocky outcrops and a natural, somewhat barren landscape, suggesting a wild, natural habitat. The jaguar's posture and the rugged terrain suggest it is in its natural environment, possibly searching for prey or simply moving through its habitat.","The image depicts a jaguar, a large feline native to the Americas. The jaguar is standing on rocky terrain, with its body oriented slightly to the left of the frame. The jaguar's distinctive coat pattern is visible, featuring a pattern of dark spots on a lighter background. The fur appears to be well-groomed and shiny, indicating good health. The jaguar's tail is long and bushy, with a distinctive black tip. Its eyes are partially closed, and it appears to be looking forward with a calm and composed expression. The background consists of rocky outcrops and a few patches of greenery, suggesting a natural habitat such as a rocky hillside or a rocky plain. The overall scene conveys a sense of tranquility and natural beauty.","- The jaguar in Image 1 is walking on a rocky terrain, while the jaguar in Image 2 is standing on rocky terrain.
- The jaguar in Image 1 has a pattern of dark spots on a lighter background, while the jaguar in Image 2 has a pattern of dark spots on a lighter background.
- The jaguar in Image 1 has a long, bushy tail with a black tip, while the jaguar in Image 2 has a long, bushy tail with a black tip.
- The jaguar in Image 1 has its eyes focused forward, while the jaguar in Image 2 has its eyes partially closed.
- The jaguar in Image 1 is in a dynamic pose, while the jaguar in Image 2 is standing still.",0,0,0,0,0,1,0,0,0,0,Caltech101,CLIP,55,7297,0.9873922,0.58670044,0.9905975
False,"The image depicts a classic symbol known as the Yin-Yang symbol, which is a fundamental concept in Chinese philosophy and is often associated with the balance and harmony of opposing forces. The symbol consists of two intersecting circles, one black and one white, forming a complete circle. The black circle is known as the ""Yin"" and the white circle is known as the ""Yang."" The Yin and Yang are considered the two fundamental forces in the universe, representing the yin-yang principle, which is the idea that everything is composed of both yin and yang forces.

In the context of the Yin-Yang symbol, the black circle represents the yin, which is the feminine, passive, and receptive force. The white circle represents the yang, which is the masculine, active, and energetic force. The symbol is often used to represent the balance and harmony of opposing forces, symbolizing the idea that everything is composed of both yin and yang forces.

The Yin-Yang symbol is often","The image depicts a classic symbol known as the Yin-Yang symbol, which is a fundamental concept in Chinese philosophy and is often associated with the balance and harmony of opposing forces. The symbol consists of two intersecting circles, one black and one white, forming a Y shape. The black circle represents the negative or dark side, while the white circle represents the positive or light side. The two circles are connected by a line, symbolizing the interdependence and transformation between the two opposing forces.

The Yin-Yang symbol is often used to represent the balance between yin (dark, feminine, and passive) and yang (light, masculine, and active) energies. It is a symbol of the universe, representing the dual nature of all things. The symbol is often used in various forms of art, philosophy, and religion, including Taoism, Buddhism, and Chinese culture.

In this image, the Yin-Yang symbol is presented in a simple, clean design with a gray background, which helps to","- Yin-Yang symbol
- Black circle
- White circle
- Intersecting circles
- Complete circle
- Yin
- Yang
- Negative
- Positive
- Interdependence
- Transformation
- Dual nature
- Taoism
- Buddhism
- Chinese culture
- Simple, clean design",0,0,0,0,0,1,0,0,0,0,Caltech101,CLIP,84,8550,0.9651669,0.36660862,0.7480843
False,"The image depicts a classic symbol known as the Yin-Yang symbol, which is a fundamental concept in Chinese philosophy and is often associated with the balance and harmony of opposing forces. The symbol consists of two intersecting circles, one black and one white, forming a complete circle. The black circle is known as the ""Yin"" and the white circle is known as the ""Yang."" The Yin and Yang are considered the two fundamental forces in the universe, representing the yin-yang principle, which is the idea that everything is composed of both yin and yang forces.

In the context of the Yin-Yang symbol, the black circle represents the yin, which is the feminine, passive, and receptive force. The white circle represents the yang, which is the masculine, active, and energetic force. The symbol is often used to represent the balance and harmony of opposing forces, symbolizing the idea that everything is composed of both yin and yang forces.

The Yin-Yang symbol is often","The image depicts a classic symbol known as the Yin-Yang symbol, which is a fundamental concept in Chinese philosophy and is often associated with the balance and harmony of opposing forces. The symbol consists of two interlocking circles, one black and one white, with a small dot in the center of the white circle. The black circle represents the negative or masculine aspect, while the white circle represents the positive or feminine aspect. The small dot in the center represents the unity or the intersection of the two forces.

The Yin-Yang symbol is a symbol of balance and harmony, representing the idea that everything in the universe is composed of both positive and negative forces. It is often used in various forms of art, philosophy, and Eastern religions to symbolize the interconnectedness of all things and the importance of finding balance and harmony in life.

In this image, the Yin-Yang symbol is presented in a simple and clear manner, with the black and white circles and the small dot in the center. The simplicity of","- Yin-Yang symbol
- Yin
- Yang
- Yin and Yang
- Yin and Yang principle
- Yin and Yang forces
- Yin and Yang balance",0,0,0,0,0,0,0,0,0,1,Caltech101,CLIP,84,4583,0.9633423,0.4173151,0.78833413
False,"The image depicts a scorpion, specifically a type known as the Mojave Desert scorpion (Moloch horridus). This scorpion is characterized by its elongated, segmented body, which is a distinctive feature that helps it to camouflage itself in its natural habitat. The scorpion's body is primarily yellowish-brown, with darker stripes running along its back and a lighter stripe along its sides. The scorpion's legs are slender and elongated, with the front legs being longer than the hind legs. The scorpion's tail is relatively short and has a yellowish-brown coloration, with a few dark spots. The scorpion is positioned on a sandy or rocky surface, with some dry pine needles visible in the background. The scorpion appears to be in a resting or stationary position, with its body oriented towards the camera.","The image depicts a scorpion, specifically a type known as the Mojave Desert scorpion (Moloch horridus). This scorpion is characterized by its elongated, segmented body, which is a distinctive feature that helps it to move quickly and efficiently. The scorpion's body is segmented into several distinct segments, each with a pair of legs attached to it. The legs are adapted for climbing and are covered with spines that provide a means of defense.

The scorpion's body is covered with a protective exoskeleton, which is a hard, waterproof layer that helps to protect the scorpion from predators and harsh environmental conditions. The scorpion's coloration varies depending on the species, but in this image, the scorpion appears to be a light brown or beige color, which is typical for many desert scorpions.

The scorpion is positioned on a sandy or gravelly surface, which is common in desert environments. The background shows some dry, brownish-yellow vegetation,","- scorpion
- elongated, segmented body
- yellowish-brown coloration
- slender, elongated legs
- short tail
- sandy or rocky surface
- dry pine needles
- resting or stationary position",0,1,0,0,0,1,0,0,0,0,Caltech101,CLIP,116,5039,0.95730233,0.13983625,0.9829484
False,"The image depicts a large commercial airplane, specifically a Boeing 747, operated by Northwest Airlines. The aircraft is captured in flight against a backdrop of a cloudy sky. The Northwest Airlines logo is prominently displayed on the fuselage, featuring the company's name and the logo in white text against a red background. The aircraft's tail fin is painted in a dark color, possibly black or dark blue, with the Northwest Airlines logo in white. The aircraft's engines are visible under the wings, and the overall design suggests it is a modern, commercial jetliner. The aircraft's registration number is not visible in the image.","The image depicts a commercial airplane in flight against a clear blue sky. The aircraft is a twin-engine jet, identifiable by its two engines mounted under the wings. The fuselage is predominantly white, with a dark-colored tail fin and a horizontal stabilizer. The aircraft's registration number is visible on the rear fuselage, which is painted in a light color, likely white or beige. The airplane is captured in a mid-flight position, with its landing gear extended, indicating it is either taking off or landing. The wings are straight and the aircraft appears to be in a level flight path. The sky is clear with no visible clouds, suggesting good weather conditions.","- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo
- Northwest Airlines logo",0,0,0,0,0,0,0,0,0,1,Caltech101,SigLIP,561,4776,0.9551352,0.68415654,0.25177938
False,"The image depicts a commercial airplane in flight against a clear blue sky. The aircraft is a wide-body jet, identifiable by its large wings and fuselage. The livery on the airplane includes the name ""VOLTAIR"" in bold, uppercase letters on the fuselage. The tail of the plane features a distinctive design with a red and white pattern, which is likely the airline's logo or branding. The airplane is captured in a mid-flight position, with its landing gear extended, indicating that it is either taking off or landing. The wings are spread wide, and the engines are clearly visible, one on each wing. The overall scene is serene and suggests a typical day in the life of a commercial airliner.","The image depicts a small, propeller-driven aircraft in flight against a clear blue sky. The aircraft is a turboprop, identifiable by its two propellers, one on each wing. The fuselage is predominantly white with a red and yellow logo on the tail and the side of the aircraft. The logo features a stylized design that includes a stylized bird or possibly a stylized letter ""E"" in red and yellow. The registration number of the aircraft is visible on the tail, which is a white and red color scheme with the letters ""E"" and ""EY"" in red. The aircraft is in mid-flight, with its landing gear extended, suggesting it is either taking off or landing. The sky is clear, indicating good weather conditions.",- no significant differences,0,0,0,0,0,0,0,0,0,1,Caltech101,SigLIP,5264,5818,0.9539683,0.6500058,-0.010897517
False,"The image depicts a small, propeller-driven aircraft in flight against a clear blue sky. The aircraft is a turboprop, identifiable by its two propellers, one on each wing. The fuselage is predominantly white with a red and yellow logo on the tail and the side of the aircraft. The logo features a stylized design that includes a stylized bird or possibly a stylized letter ""E"" in red and yellow. The registration number of the aircraft is visible on the tail, which is a white and red color scheme with the letters ""E"" and ""EY"" in red. The aircraft is in mid-flight, with its landing gear extended, suggesting it is either taking off or landing. The sky is clear, indicating good weather conditions.","The image depicts a commercial airplane in flight against a clear blue sky. The aircraft is a McDonnell Douglas MD-11, identifiable by its distinctive livery and design. The airplane is painted in a combination of red, white, and blue colors, with the American Airlines logo prominently displayed on the fuselage. The registration number of the aircraft is visible on the rear of the plane, which is typically a 4-digit alphanumeric code.

The airplane is in flight, as evidenced by the position of the wings and the tail section, which are angled upwards. The wings are spread wide, and the tail section is pointed upwards, indicating that the plane is in the climb phase of its flight. The engines are clearly visible, with the left engine mounted on the left wing and the right engine on the right wing.

The American Airlines logo, which consists of the letters ""AA"" in red, is prominently displayed on the fuselage of the airplane. The logo is situated near the front of the aircraft",- no significant differences,0,0,0,0,0,0,0,0,0,1,Caltech101,SigLIP,5818,6132,0.9518752,0.6428739,-0.00031297863
True,,,Qwen: images are essentially identical.,0,0,0,0,0,0,0,0,0,1,Caltech101,DINOv2,20,465,0.9905869,0.4258185,0.9612273
False,"The image depicts a jaguar, a large feline native to the Americas. The jaguar is captured in a dynamic pose, walking on a rocky terrain. The jaguar's coat is a striking pattern of dark brown and black spots, which are characteristic of its species. Its long, slender tail is visible, and it appears to be in mid-stride, with its front paws on the ground and its hind legs raised slightly. The jaguar's eyes are focused forward, and its ears are perked up, indicating alertness. The background consists of rocky outcrops and a natural, somewhat barren landscape, suggesting a wild, natural habitat. The jaguar's posture and the rugged terrain suggest it is in its natural environment, possibly searching for prey or simply moving through its habitat.","The image depicts a jaguar, a large feline native to the Americas. The jaguar is standing on rocky terrain, with its body oriented slightly to the left of the frame. The jaguar's distinctive coat pattern is visible, featuring a pattern of dark spots on a lighter background. The fur appears to be well-groomed and shiny, indicating good health. The jaguar's tail is long and bushy, with a distinctive black tip. Its eyes are partially closed, and it appears to be looking forward with a calm and composed expression. The background consists of rocky outcrops and a few patches of greenery, suggesting a natural habitat such as a rocky hillside or a rocky plain. The overall scene conveys a sense of tranquility and natural beauty.","- The jaguar in Image 1 is walking on a rocky terrain, while the jaguar in Image 2 is standing on rocky terrain.
- The jaguar in Image 1 has a pattern of dark spots on a lighter background, while the jaguar in Image 2 has a pattern of dark spots on a lighter background.
- The jaguar in Image 1 has a long, bushy tail with a black tip, while the jaguar in Image 2 has a long, bushy tail with a black tip.
- The jaguar in Image 1 has its eyes focused forward, while the jaguar in Image 2 has its eyes partially closed.
- The jaguar in Image 1 is in a dynamic pose, while the jaguar in Image 2 is standing still.",0,0,0,0,0,1,0,0,0,0,Caltech101,DINOv2,55,7297,0.9905976,0.58670044,0.9873919
